127.0.0.1, 2016-10-10 15:11:11, GET, /welcome/default/user/register, HTTP/1.1, 200, 0.358843
127.0.0.1, 2016-10-10 15:11:58, GET, /welcome/default/index, HTTP/1.1, 200, 0.330430
127.0.0.1, 2016-10-10 15:12:01, GET, /examples/default/index, HTTP/1.1, 200, 0.069206
127.0.0.1, 2016-10-10 15:12:04, GET, /welcome/default/index, HTTP/1.1, 200, 0.320765
127.0.0.1, 2016-10-10 15:41:27, GET, /welcome/static/images/twitter, HTTP/1.1, 404, 0.000449
127.0.0.1, 2016-10-10 15:41:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000419
127.0.0.1, 2016-10-10 15:41:36, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.000457
127.0.0.1, 2016-10-10 15:41:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000407
127.0.0.1, 2016-10-10 15:43:57, GET, /favicon.ico, HTTP/1.1, 400, 0.000587
127.0.0.1, 2016-10-10 15:43:57, GET, /welcome/default/index, HTTP/1.1, 200, 0.064596
127.0.0.1, 2016-10-10 15:44:00, GET, /welcome/default/index, HTTP/1.1, 200, 0.061117
127.0.0.1, 2016-10-10 15:44:00, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000839
127.0.0.1, 2016-10-10 15:44:00, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.000502
127.0.0.1, 2016-10-10 15:44:00, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.003798
127.0.0.1, 2016-10-10 15:44:00, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.003899
127.0.0.1, 2016-10-10 15:44:00, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.001795
127.0.0.1, 2016-10-10 15:44:00, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.002356
